STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,WB_WDI_SE_TER_CUAT_BA_ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,5.34999990463257,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DMA,Dominica,WB_WDI_SE_TER_CUAT_BA_ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,1.10000002384186,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,PRT,Portugal,WB_WDI_SE_TER_CUAT_BA_ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,1.63999998569489,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,PAK,Pakistan,WB_WDI_SE_TER_CUAT_BA_ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1972,3.40000009536743,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGR,Bulgaria,WB_WDI_SE_TER_CUAT_BA_ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1975,5.48999977111816,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,MOZ,Mozambique,WB_WDI_SE_TER_CUAT_BA_ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,0.100000001490116,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SGP,Singapore,WB_WDI_SE_TER_CUAT_BA_ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1980,2.66000008583069,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DMA,Dominica,WB_WDI_SE_TER_CUAT_BA_ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1981,1.71000003814697,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRC,Greece,WB_WDI_SE_TER_CUAT_BA_ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1981,7.59999990463257,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,PAK,Pakistan,WB_WDI_SE_TER_CUAT_BA_ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT,Percentage,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1981,1.88999998569489,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
