Year,Indicator,Value
2010,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",4.83927631378174
2011,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",5.18007898330688
2013,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",5.95415067672729
2014,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",6.03802108764648
2015,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",6.07000017166138
2016,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",8.25026321411133
2017,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",8.25
2018,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",11.1089563369751
2019,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",8.02000045776367
2020,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",7.68192005157471
2021,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",12.960000038147
2022,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",11.4343910217285
2023,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",12.2000169754028
