Year,Indicator,Value,Outlier
2010,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",54.171,False
2011,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",56.169,False
2012,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",55.959,False
2013,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",56.219,False
2014,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",56.093,False
2015,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",57.693,False
2016,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",57.965,False
2017,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",58.775,False
2018,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",58.131,False
2019,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",58.327,False
2020,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",54.701,False
2021,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",55.76,False
2022,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",56.942,False
2023,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",58.528,False
2024,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",58.529,False
